method,threshold,image_threshold,text_threshold,tp,fp,tn,fn,precision,recall,f1,positive_labels
naive_union,,0.01,0.17,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.18,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.19,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.2,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.21,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.22,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.23,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.24,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.25,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.26,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.27,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.28,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.29,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.3,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.31,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.32,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.33,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.34,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.35,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.36,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.37,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.38,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.39,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
